CL. PICO TUERTO 0,PONFERRADA
CL. RUBEN DARIO 53,PONFERRADA
PZ. RODOLFO MARTIN VILLA 0,PUENTE DE DOMINGO FLOREZ
CL. DE LA IGLESIA 25-27,QUINTANAR DE LA SIERRA
CL. SOLASIERRA 0,RIANO
PZ. MARIA HERNADO 1,RIAZA
CL. EL SEXTIL 0,GRADEFES
CR. MAMBRILLA0,ROA
CL. CALZADA 0,ROBLEDA
CL. SEPULVEDA 14,SACRAMENIA
CL. CONSTITUCION 0,SAHAGUN
CL. PARQUE LARA0,SALAS DE LOS INFANTES
CL. RONDA DON GARCIA 0,SALDANA
CL. BURBIA 0,LEON
CL. CONDES DE SAN ESTEBAN 9,SAN ESTEBAN DE GORMAZ
CL. SAN PEDRO,SAN LEONARDO DE YAGUE
CR. DE VILLAFLOR 0,SAN PEDRO DEL ARROYO
CR. MEDIANA ,SAN PEDRO MANRIQUE
CL. PRADO ARRIBA 0,SANTA MARIA DEL PARAMO
CL. EZEQUIEL ELENO 0,BERMILLO DE SAYAGO
CL. LAS ERAS 0,SEDANO
CL. EL POSTIGUILLO 11,SEPULVEDA
CL. LAS PENAS3,SERRADA
PZ. DE LA CONCORDIA ,SOTILLO DE LA ADRADA
CR. DE RIOFRIO 0,TABARA
CL. TOMAS RODRIGUEZ PINILLA 0,SALAMANCA
CL. CARRETERA 72,CAMARZANA DE TERA
AV. DE VALLADOLID ,TORDESILLAS
CL. INSTITUTO, S/N ,TORENO
PZ. SAN AGUSTIN 1,TORO
CL. BUENAVENTURA DURRUTI 1,SAN ANDRES DEL RABANEDO
CL. MARIA ZAMBRANO 0,TUDELA DE DUERO
CR. CARRETERA BENAVENTE 0,VALDERAS
CL. RAMON Y CAJAL 0,VALENCIA DE DON JUAN
CR. MIRANDA 67,QUINTANA MARTIN GALINDEZ
CL. ANTONIO MACHADO 0,VENTA DE BANOS
CL. BENAVENTE ,SANTIBANEZ DE VIDRIALES
CR. DE ASTURIAS 0,VILLABLINO
CL. COSTANILLA DE SAN MIGUEL 0,VILLACASTIN
CL. CASADO DEL ALISAL 0,VILLADA
CL. REYES CATOLICOS 0,VILLADIEGO
AV. DIAZ OVELAR 0,VILLAFRANCA DEL BIERZO
CR. DE VILLALPANDO,VILLAFRECHOS
AV. DEL PARQUE 14,VILLALON DE CAMPOS
AV. VALDEGUDIN 0,VILLAMURIEL DE CERRATO
CL. FUENTE 27-29,VILLARES DE LA REINA
CL. SANTA MARIA 0,VILLARRAMIEL
CL. CANADA 2,VILLORIA
CL. ALAMEDA 2,VITIGUDINO
CL. ALTO DESAN LAZARO ,ZAMORA
CL. SANTA TERESA 26,ZAMORA
CL. ACOSTA 38,BURGO DE OSMA (EL)
CL. NOCEDERA 0,VILLASANA DE MENA
PS. JUAN CARLOS I 18,VALLADOLID
PS. JUAN CARLOS I 18,VALLADOLID
CL. SANTA ELENA 12,ZAMORA
CL. CARDENAL CISNEROS 22,LEON
CL. ABAD VINAYO 0,LEON
CL. ERAS DEL BOSQUE 0,PALENCIA
PS. DE FILIPINOS 15,VALLADOLID
CL. VICENTE ALEXANDRE 2,BURGOS
CL. ELADIO PERLADO 1,BURGOS
CL. FEDERICO GARCIA LORCA 23,BURGOS
AV. COMUNEROS 27-31,SALAMANCA
CL. RASTROJO 14,VALLADOLID
CL. JOSE MARIA DE LA PUENTE 1,BURGOS
AV. JOSE AGUADO 0,LEON
AV. JOSE AGUADO 0,LEON
CL. LAZARILLO DE TORMES 0,BURGOS
AV. CONDESA DE SAGASTA 28,LEON
CL. ARRABAL DE SAN PEDRO 0,FUENTESAUCO
AV. DE LA MAGDALENA 4,LEON
AV. SAN JUAN DE SAHAGUN 0,LEON
AV. JARDIN BOTANICO 3,VALLADOLID
PS. DE LOS COMENDADORES 2,BURGOS
CL. JUAN DE PADILLA 7,BURGOS
CL. LAVADORES 0,BURGOS
CL. ALONSO FERNANDEZ DE MADRID 1,PALENCIA
CL. LAS JUSTAS 13,BEJAR
CL. ARAPILES 25,SALAMANCA
CL. CIUDAD DE VIERZON 11,MIRANDA DE EBRO
CL. CONDADO DE TREVINO 20,MIRANDA DE EBRO
AV. SAN TELMO 0,PALENCIA
AV. DE CASTILLA Y LEON 137,VALLADOLID
CL. CIUDAD DE LA HABANA 17,VALLADOLID
CL. TOMAS RODRIGUEZ PINILLA 0,SALAMANCA
CL. DOCTOT MONTERO 2,VALLADOLID
CL. VIRGEN DEL CAMPO 0,COVALEDA
CL. DOCTOR FLEMING 0,PALENCIA
PZ. DE ESPANA ,ARROYO
CL. DR. MONTERO 2,VALLADOLID
CL. HIPICA 0,VALLADOLID
CL. RAMON GONZALEZ ALEGRE 0,PONFERRADA
RD. DE PUERTA NUEVA 6,ZAMORA
CL. CARDENAL TORQUEMADA 54,VALLADOLID
CL. CARDENAL TORQUEMADA 054,VALLADOLID
CL. BONIFACIO ZAMORA USABEL 0,BURGOS
CL. VALENCIA 32,SALAMANCA
CL. CARDENAL TORQUEMADA ,VALLADOLID
CL. VICENTE SALGADO 45,PUEBLA DE SANABRIA
RD. SANCTI-SPIRITUS 43,SALAMANCA
PZ. SANTA TERESA 0,BURGOS
CL. PADRE IGNACIO ELLACURIA 0,SANTA MARTA DE TORMES
CL. SANTO TOMAS 9,SEGOVIA
CL. DEL PARQUE 37,SEGOVIA
AV. VIA ROMA ,SEGOVIA
CL. ALTOS DE LA PIEDAD 0,SEGOVIA
PS. DEL ROMERO 0,SALAMANCA
PS. DEL ESPOLON 163,SORIA
CR. DE LOGRONO ,SORIA
CL. NICOLAS RABAL 19,SORIA
CL. TORTOLA 19,VALLADOLID
RD. SANCTI SPIRITUS 43,SALAMANCA
CR. DE VALLADOLID 0,RENEDO
CL. EUSEBIO GONZALEZ SUAREZ 0,ZARATAN
AV. REQUEJO 31,ZAMORA
CL. PARADA DEL MOLINO 2,ZAMORA
